School,OPts,OPCmp,OPAtt,OPPct,OPYds,OPTD,ORAtt,ORYds,ORAvg,ORTD,OPlays,OYds,OAvg,FPass,FRush,FPen,FTot,ONo.,OPenYds,OFum,OInt,OTot
Alabama,41.1,21.5,33.7,63.9,281.5,2.8,35.2,195.5,5.6,2.0,68.9,477.1,6.9,12.6,9.3,1.9,23.8,7.9,68.7,0.6,0.6,1.2
Arkansas,32.5,17.8,27.5,64.7,233.8,2.0,46.5,236.7,5.1,2.1,74.0,470.5,6.4,9.7,12.8,1.4,23.9,6.4,55.5,0.8,0.5,1.4
Auburn,24.8,13.3,25.7,51.6,172.7,0.8,40.7,205.8,5.1,2.1,66.3,378.5,5.7,7.3,10.0,0.8,18.1,7.5,57.3,0.9,1.0,1.9
Florida,29.5,15.3,28.2,54.4,223.8,1.4,36.3,200.2,5.5,2.2,64.5,424.1,6.6,9.9,8.7,1.4,20.0,6.8,50.1,0.4,0.7,1.1
Georgia,41.1,22.4,32.9,68.2,295.9,2.1,37.1,205.3,5.5,2.9,70.0,501.2,7.2,13.8,9.9,1.3,25.1,4.4,44.9,0.7,0.5,1.2
Kentucky,20.4,17.2,26.8,64.2,208.5,1.6,35.6,116.2,3.3,0.7,62.5,324.7,5.2,8.9,6.9,1.8,17.6,5.7,39.5,0.5,1.0,1.5
LSU,34.5,23.0,34.3,67.1,269.3,1.6,36.9,183.9,5.0,2.8,71.2,453.1,6.4,12.6,9.9,2.1,24.7,6.1,54.3,0.8,0.5,1.3
Mississippi State,31.6,32.9,48.8,67.5,311.2,2.8,22.7,81.7,3.6,0.9,71.5,392.9,5.5,15.2,5.4,2.2,22.8,6.3,60.8,0.8,0.7,1.5
Missouri,24.8,19.3,30.5,63.4,214.1,1.1,37.7,155.7,4.1,1.5,68.2,369.8,5.4,9.5,7.8,1.4,18.6,7.8,63.7,0.9,0.7,1.6
Ole Miss,33.5,18.4,29.8,61.8,239.8,1.7,47.2,256.6,5.4,2.5,77.0,496.4,6.4,9.8,13.5,1.9,25.2,6.8,63.5,0.7,0.9,1.6
South Carolina,32.2,21.6,32.4,66.7,260.0,1.8,31.6,118.8,3.8,2.1,64.0,378.8,5.9,9.7,7.3,2.0,19.0,6.9,63.8,1.0,1.1,2.1
Tennessee,46.1,22.3,32.5,68.7,326.1,2.9,40.2,199.5,5.0,3.1,72.7,525.5,7.2,11.9,10.3,3.2,25.4,8.1,69.6,0.6,0.2,0.8
Texas A&M,22.8,18.3,32.6,56.3,219.4,1.5,30.5,141.5,4.6,1.0,63.1,360.9,5.7,9.2,7.8,2.5,19.5,6.3,49.1,0.9,0.5,1.4
Vanderbilt,24.6,16.7,28.8,57.8,187.3,1.8,37.1,159.9,4.3,1.1,65.9,347.3,5.3,7.8,7.8,1.9,17.5,5.3,46.1,1.0,0.5,1.5